Population,Sample,Lon,Lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
NBJ,NBJ06,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ07,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ08,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ09,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ11,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ12,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ13,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ15,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ16,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ17,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ20,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ22,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ24,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ25,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ28,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ29,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBJ,NBJ30,147.04,-35.05,161,130,44,5659,321,31,290,122,231,234,89,514,54,33,15,151,108,112,136
NBY,NBY01,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY03,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY04,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY05,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY06,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY08,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY09,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY11,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY12,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY14,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY15,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY17,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY18,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY19,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY20,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY21,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY22,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY23,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY25,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY26,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY27,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY28,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY29,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NBY,NBY30,148.25,-33.33,158,135,46,5603,315,25,290,226,123,230,86,693,73,45,14,189,158,187,167
NCB,NCB02B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB03B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB05,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB06,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB07,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB08,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB09B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB10,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB11,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB12,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB13,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB14,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB15,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB16,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB17,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB18,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB19B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB20,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB21,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB22B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB23,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB24,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB25,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB27B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB28,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB29,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCB,NCB30B,144.96,-35.5,163,132,46,5326,317,36,281,129,205,231,95,414,43,25,15,120,87,91,110
NCD,NCD02,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD03,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD04,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD07,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD08,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD10,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD11,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD13,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD16,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD18,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD19,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD20,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD21,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD22,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD23,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD25,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD26,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD27,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD29,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCD,NCD30,147.07,-32.91,176,131,44,5804,330,36,294,245,100,250,100,480,53,30,17,141,104,133,104
NCN,NCN01,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN02,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN04,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN08,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN09,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN10,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN11,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN12,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN13,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN14,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN15,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN16,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN17,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN18,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN20,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN21,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN22,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN24,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN25,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN26,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN27,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN28,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN29,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCN,NCN30,146.34,-35.74,157,132,45,5548,318,30,288,97,227,229,87,526,56,31,19,155,104,110,148
NCR,NCR01,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR02,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR07,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR08,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR15,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR16,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR19B,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR21,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR22B,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR23,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR24,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
NCR,NCR25,148.52,-34.09,148,141,47,5542,310,13,297,112,192,220,78,668,69,46,13,191,149,160,172
