"","Population","Sample","Lon","Lat"
"221","NDU","NDU16",148.51,-32.33
"222","NDU","NDU17",148.51,-32.33
"223","NDU","NDU19",148.51,-32.33
"224","NDU","NDU20",148.51,-32.33
"225","NDU","NDU22",148.51,-32.33
"226","NDU","NDU23",148.51,-32.33
"227","NDU","NDU24",148.51,-32.33
"228","NDU","NDU25",148.51,-32.33
"229","NDU","NDU26",148.51,-32.33
"230","NDU","NDU27",148.51,-32.33
"231","NDU","NDU28",148.51,-32.33
"232","NDU","NDU29",148.51,-32.33
"233","NDU","NDU30",148.51,-32.33
"234","NFN","NFN01",145.55,-35.68
"235","NFN","NFN02",145.55,-35.68
"236","NFN","NFN05",145.55,-35.68
"237","NFN","NFN06",145.55,-35.68
"238","NFN","NFN09",145.55,-35.68
"239","NFN","NFN14",145.55,-35.68
"240","NFN","NFN16",145.55,-35.68
"241","NFN","NFN17",145.55,-35.68
"242","NFN","NFN18",145.55,-35.68
"243","NFN","NFN20",145.55,-35.68
"244","NFN","NFN21",145.55,-35.68
"245","NFN","NFN22",145.55,-35.68
"246","NFN","NFN23",145.55,-35.68
"247","NFN","NFN25",145.55,-35.68
"248","NFN","NFN26",145.55,-35.68
"249","NFN","NFN29",145.55,-35.68
"250","NGR","NGR03",148.12,-34
"251","NGR","NGR04",148.12,-34
"252","NGR","NGR06",148.12,-34
"253","NGR","NGR10",148.12,-34
"254","NGR","NGR12",148.12,-34
"255","NGR","NGR14",148.12,-34
"256","NGR","NGR15",148.12,-34
"257","NGR","NGR17",148.12,-34
"258","NGR","NGR21",148.12,-34
"259","NGR","NGR22",148.12,-34
"260","NGR","NGR23",148.12,-34
"261","NGR","NGR27",148.12,-34
"262","NGR","NGR28",148.12,-34
"263","NGR","NGR29",148.12,-34
"264","NGR","NGR30",148.12,-34
"265","NGR","NGR31",148.12,-34
"266","NGR","NGR32",148.12,-34
"267","NGR","NGR34",148.12,-34
"268","NGR","NGR35",148.12,-34
"269","NGR","NGR36",148.12,-34
"270","NGR","NGR37",148.12,-34
"271","NGR","NGR39",148.12,-34
"272","NGR","NGR40",148.12,-34
"273","NHI","NHI01",147.22,-33.84
"274","NHI","NHI02",147.22,-33.84
"275","NHI","NHI04",147.22,-33.84
"276","NHI","NHI06",147.22,-33.84
"277","NHI","NHI08",147.22,-33.84
"278","NHI","NHI10",147.22,-33.84
"279","NHI","NHI11",147.22,-33.84
"280","NHI","NHI13",147.22,-33.84
"281","NHI","NHI14",147.22,-33.84
"282","NHI","NHI15",147.22,-33.84
"283","NHI","NHI16",147.22,-33.84
"284","NHI","NHI17",147.22,-33.84
"285","NHI","NHI19",147.22,-33.84
"286","NHI","NHI20",147.22,-33.84
"287","NHI","NHI21",147.22,-33.84
"288","NHI","NHI22",147.22,-33.84
"289","NHI","NHI24",147.22,-33.84
"290","NHI","NHI25",147.22,-33.84
"291","NHI","NHI26",147.22,-33.84
"292","NHI","NHI28",147.22,-33.84
"293","NHI","NHI29",147.22,-33.84
"294","NHI","NHI30",147.22,-33.84
"295","NMV","NMV01",144.91,-35.7
"296","NMV","NMV03",144.91,-35.7
"297","NMV","NMV04",144.91,-35.7
"298","NMV","NMV05",144.91,-35.7
"299","NMV","NMV06",144.91,-35.7
"300","NMV","NMV08",144.91,-35.7
"301","NMV","NMV09",144.91,-35.7
"302","NMV","NMV10",144.91,-35.7
"303","NMV","NMV12",144.91,-35.7
"304","NMV","NMV13",144.91,-35.7
"305","NMV","NMV14",144.91,-35.7
"306","NMV","NMV16",144.91,-35.7
"307","NMV","NMV18",144.91,-35.7
"308","NMV","NMV19",144.91,-35.7
"309","NMV","NMV20",144.91,-35.7
"310","NMV","NMV23",144.91,-35.7
"311","NMV","NMV25",144.91,-35.7
"312","NMV","NMV26",144.91,-35.7
"313","NMV","NMV28",144.91,-35.7
"314","NMV","NMV29",144.91,-35.7
"315","NMV","NMV30",144.91,-35.7
"316","NNA","NNA01",146.5,-34.75
"317","NNA","NNA02",146.5,-34.75
"318","NNA","NNA03",146.5,-34.75
"319","NNA","NNA04",146.5,-34.75
"320","NNA","NNA05",146.5,-34.75
"321","NNA","NNA06",146.5,-34.75
"322","NNA","NNA07",146.5,-34.75
"323","NNA","NNA08",146.5,-34.75
"324","NNA","NNA09",146.5,-34.75
"325","NNA","NNA10",146.5,-34.75
"326","NNA","NNA11",146.5,-34.75
"327","NNA","NNA12",146.5,-34.75
"328","NNA","NNA13",146.5,-34.75
